plate,comp,ineq_treatment,hyphal_bm_mg,hyphal_QD_total,hyphal_QD_total_from_other_hypal,hyphal_QD_in_root_from_poor_total,hyphal_QD_in_root_from_rich_total,percent_cyto,percent_vac,root_bm_mg,total_root_bm_mg,root_QD_per_mg_root_rich_origin,root_QD_per_mg_root_poor_origin
66,Rich,Medium,0.477016011,0.005826402,0.003992458,NA,NA,64.04621313,35.95378687,NA,NA,NA,NA
66,Root,Medium,0.588284404,NA,NA,0.006062744,0.003724316,50.20257395,49.79742605,44.2,73.8,0.00042177,0.000446
67,Poor,Medium,0.178987184,0.005736534,0.008948356,NA,NA,85.37704031,14.62295969,NA,NA,NA,NA
67,Rich,Medium,0.207418488,0.012120381,0.011588693,NA,NA,113.5407644,NA,NA,NA,NA,NA
67,Root,Medium,0.592889556,NA,NA,0.00339478,0.002531192,65.21371119,34.78628881,43.7,67.2,0.001560685,0.000139
68,Poor,Medium,0.230941904,0.003014321,0.010776429,NA,NA,89.43146026,10.56853974,NA,NA,NA,NA
68,Rich,Medium,0.213035134,0.009596387,0.003233646,NA,NA,81.83122124,18.16877876,NA,NA,NA,NA
68,Root,Medium,0.402338373,NA,NA,0.003973364,0.003146723,58.41933701,41.58066299,29.9,55.8,0.000835232,0.000105
69,Poor,Medium,0.096313008,0.030818543,0.047720359,NA,NA,81.53131165,18.46868835,NA,NA,NA,NA
69,Rich,Medium,0.114109448,0.024004076,0.012298878,NA,NA,80.11283562,19.88716438,NA,NA,NA,NA
69,Root,Medium,0.882189461,NA,NA,0.001996409,0.001129083,49.24170356,50.75829644,44,72.1,0,0.000374
70,Poor,Medium,0.37779639,0.002369899,0.00381318,NA,NA,79.53263672,20.46736328,NA,NA,NA,NA
70,Rich,Medium,0.31999596,0.004624719,0.002509163,NA,NA,62.20249381,37.79750619,NA,NA,NA,NA
70,Root,Medium,0.518840962,NA,NA,0.002823698,0.001608639,73.12281291,26.87718709,37.2,57.8,0.000371551,0.000446
71,Poor,Medium,0.178698834,0.007444224,0.007829201,NA,NA,91.38250508,8.617494924,NA,NA,NA,NA
71,Rich,Medium,0.71232039,0.003104085,0.002194083,NA,NA,64.32797137,35.67202863,NA,NA,NA,NA
71,Root,Medium,0.513799101,NA,NA,0.002112958,0.001940202,79.1968808,20.8031192,27,27.5,0,0.000254
72,Poor,Medium,0.389898973,0.005880877,0.006145231,NA,NA,63.76031888,36.23968112,NA,NA,NA,NA
72,Rich,Medium,0.829223113,0.002621179,0.001915008,NA,NA,69.82425404,30.17574596,NA,NA,NA,NA
72,Root,Medium,0.711396221,NA,NA,0.00304535,0.002506755,61.71052717,38.28947283,34.2,53.3,0.000580182,0.000417
73,Poor,Medium,1.645279617,0.000636124,0.000907361,NA,NA,64.96496062,35.03503938,NA,NA,NA,NA
73,Rich,Medium,0.409351492,0.004009437,0.002472675,NA,NA,70.12041769,29.87958231,NA,NA,NA,NA
73,Root,Medium,1.10489088,NA,NA,0.001298608,0.000939338,71.66772111,28.33227889,37,49.4,0.000349809,0.000289
74,Poor,Medium,NA,NA,NA,NA,NA,80.4274571,19.5725429,NA,NA,NA,NA
74,Rich,Medium,0.345206411,0.002878392,0.003602415,NA,NA,68.67269707,31.32730293,NA,NA,NA,NA
74,Root,Medium,1.887994493,NA,NA,0.000628132,0.000340897,73.05237191,26.94762809,40.1,75.5,0,0.000181
75,Poor,Medium,1.971770485,0.00023453,0.000700642,NA,NA,53.38629744,46.61370256,NA,NA,NA,NA
75,Rich,Medium,NA,NA,NA,NA,NA,66.00471294,33.99528706,NA,NA,NA,NA
75,Root,Medium,0.451165604,NA,NA,0.002877952,0.000834985,74.63850713,25.36149287,27.6,28.6,0.000881386,0.000306
